Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201112,01,001,3,6,Autauga County                ,106,106,24364539,0,0,0,0,0,0,0,0,0,106,106,24364539,0,0,0,0,0,0,0,0,0
201112,01,007,3,6,Bibb County                   ,11,11,1889629,0,0,0,0,0,0,0,0,0,7,7,1210000,0,0,0,0,0,0,0,0,0
201112,01,009,3,6,Blount County                 ,2,2,763900,0,0,0,0,0,0,0,0,0,2,2,763900,0,0,0,0,0,0,0,0,0
201112,01,021,3,6,Chilton County                ,17,17,2344209,0,0,0,0,0,0,0,0,0,14,14,1944426,0,0,0,0,0,0,0,0,0
201112,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201112,01,073,3,6,Jefferson County              ,1108,1108,233400351,0,0,0,0,0,0,24,641,49362777,938,938,200785019,0,0,0,0,0,0,22,567,41806215
201112,01,081,3,6,Lee County                    ,739,739,162507943,1,2,145125,0,0,0,12,216,29004294,739,739,162507943,1,2,145125,0,0,0,12,216,29004294
201112,01,115,3,6,St. Clair County              ,169,169,19849555,0,0,0,0,0,0,0,0,0,165,165,19344196,0,0,0,0,0,0,0,0,0
201112,01,117,3,6,Shelby County                 ,424,424,72389827,0,0,0,0,0,0,0,0,0,219,219,34244569,0,0,0,0,0,0,0,0,0
201112,01,127,3,6,Walker County                 ,11,11,1719600,0,0,0,0,0,0,0,0,0,11,11,1719600,0,0,0,0,0,0,0,0,0
201112,02,000,4,9,Alaska Balance of State       ,56,56,13711067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201112,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201112,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201112,02,020,4,9,Anchorage Borough             ,344,344,99332058,6,12,2339583,0,0,0,11,91,15574743,344,344,99332058,6,12,2339583,0,0,0,11,91,15574743
201112,02,050,4,9,Bethel Census Area            ,6,6,1356250,1,2,350000,0,0,0,0,0,0,4,4,900000,1,2,350000,0,0,0,0,0,0
201112,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201112,02,090,4,9,Fairbanks North Star Borough  ,35,35,6701618,0,0,0,1,4,782000,0,0,0,3,3,821000,0,0,0,1,4,782000,0,0,0
201112,02,100,4,9,Haines Borough                ,1,1,227053,0,0,0,0,0,0,0,0,0,1,1,227053,0,0,0,0,0,0,0,0,0
201112,02,110,4,9,Juneau Borough                ,40,40,9287815,0,0,0,0,0,0,0,0,0,40,40,9287815,0,0,0,0,0,0,0,0,0
201112,02,122,4,9,Kenai Peninsula Borough       ,61,61,12878332,1,2,350000,0,0,0,0,0,0,37,37,7051459,1,2,350000,0,0,0,0,0,0
201112,02,130,4,9,Ketchikan Gateway Borough     ,9,9,1969745,1,2,259591,0,0,0,2,23,2107950,6,6,1306394,1,2,259591,0,0,0,2,23,2107950
201112,02,150,4,9,Kodiak Island Borough         ,13,13,2918801,0,0,0,0,0,0,0,0,0,13,13,2918801,0,0,0,0,0,0,0,0,0
