Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200804,01,001,3,6,Autauga County                ,82,82,13508998,0,0,0,0,0,0,0,0,0,51,51,8205365,0,0,0,0,0,0,0,0,0
200804,01,007,3,6,Bibb County                   ,6,6,906000,0,0,0,0,0,0,0,0,0,6,6,906000,0,0,0,0,0,0,0,0,0
200804,01,009,3,6,Blount County                 ,8,8,1077376,1,2,66700,0,0,0,0,0,0,7,7,991831,1,2,66700,0,0,0,0,0,0
200804,01,021,3,6,Chilton County                ,14,14,1776760,0,0,0,0,0,0,0,0,0,9,9,1147000,0,0,0,0,0,0,0,0,0
200804,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200804,01,073,3,6,Jefferson County              ,642,642,120138327,4,8,476798,0,0,0,19,443,34953306,554,554,104916789,4,8,476798,0,0,0,9,237,19999382
200804,01,081,3,6,Lee County                    ,305,305,58738204,3,6,754038,1,4,450036,1,15,1265792,271,271,52772465,3,6,754038,1,4,450036,0,0,0
200804,01,115,3,6,St. Clair County              ,59,59,7414614,0,0,0,0,0,0,0,0,0,58,58,7249158,0,0,0,0,0,0,0,0,0
200804,01,117,3,6,Shelby County                 ,325,325,51951799,0,0,0,0,0,0,4,40,1200000,160,160,23999446,0,0,0,0,0,0,4,40,1200000
200804,01,127,3,6,Walker County                 ,9,9,1491833,0,0,0,0,0,0,1,5,475610,6,6,941000,0,0,0,0,0,0,0,0,0
200804,02,000,4,9,Alaska Balance of State       ,31,31,5957355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200804,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200804,02,016,4,9,Aleutians West Census Area    ,2,2,196219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200804,02,020,4,9,Anchorage Borough             ,55,55,22161717,10,20,4498386,4,15,3921480,1,16,2527855,55,55,22161717,10,20,4498386,4,15,3921480,1,16,2527855
200804,02,050,4,9,Bethel Census Area            ,6,6,861313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200804,02,060,4,9,Bristol Bay Borough           ,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
200804,02,090,4,9,Fairbanks North Star Borough  ,26,26,5222239,3,6,724800,0,0,0,0,0,0,1,1,153000,0,0,0,0,0,0,0,0,0
200804,02,100,4,9,Haines Borough                ,1,1,202573,0,0,0,0,0,0,0,0,0,1,1,202573,0,0,0,0,0,0,0,0,0
200804,02,110,4,9,Juneau Borough                ,5,5,1277985,0,0,0,0,0,0,0,0,0,2,2,444648,0,0,0,0,0,0,0,0,0
200804,02,122,4,9,Kenai Peninsula Borough       ,16,16,4141862,0,0,0,0,0,0,0,0,0,12,12,3189276,0,0,0,0,0,0,0,0,0
200804,02,130,4,9,Ketchikan Gateway Borough     ,14,14,2939502,0,0,0,0,0,0,1,8,863544,14,14,2939502,0,0,0,0,0,0,1,8,863544
200804,02,150,4,9,Kodiak Island Borough         ,3,3,828075,0,0,0,0,0,0,0,0,0,3,3,828075,0,0,0,0,0,0,0,0,0
