Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201506,01,001,3,6,Autauga County                ,91,91,22686786,0,0,0,0,0,0,0,0,0,91,91,22686786,0,0,0,0,0,0,0,0,0
201506,01,007,3,6,Bibb County                   ,12,12,2058228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201506,01,009,3,6,Blount County                 ,1,1,98505,0,0,0,0,0,0,2,40,3831302,1,1,98505,0,0,0,0,0,0,2,40,3831302
201506,01,021,3,6,Chilton County                ,9,9,957000,0,0,0,0,0,0,0,0,0,9,9,957000,0,0,0,0,0,0,0,0,0
201506,01,073,3,6,Jefferson County              ,692,692,183119716,0,0,0,0,0,0,10,204,27422108,663,663,178332784,0,0,0,0,0,0,5,178,26254421
201506,01,083,3,6,Limestone County              ,47,47,10344252,0,0,0,0,0,0,0,0,0,46,46,10216252,0,0,0,0,0,0,0,0,0
201506,01,089,3,6,Madison County                ,997,997,149464364,1,2,219948,4,16,340000,10,230,17262154,994,994,149085419,1,2,219948,4,16,340000,10,230,17262154
201506,01,113,3,6,Russell County                ,95,95,16614402,1,2,113764,0,0,0,0,0,0,84,84,14667378,1,2,113764,0,0,0,0,0,0
201506,01,115,3,6,St. Clair County              ,54,54,8897728,0,0,0,0,0,0,0,0,0,48,48,7887109,0,0,0,0,0,0,0,0,0
201506,01,117,3,6,Shelby County                 ,477,477,109748994,0,0,0,0,0,0,0,0,0,256,256,55894723,0,0,0,0,0,0,0,0,0
201506,01,127,3,6,Walker County                 ,8,8,2400000,0,0,0,0,0,0,0,0,0,8,8,2400000,0,0,0,0,0,0,0,0,0
201506,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201506,02,016,4,9,Aleutians West Census Area    ,2,2,196236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201506,02,020,4,9,Anchorage Borough             ,316,316,98369890,1,2,322399,6,18,3182994,6,51,8062873,0,0,0,0,0,0,0,0,0,0,0,0
201506,02,020,4,9,Anchorage Municipality        ,316,316,98369890,1,2,322399,6,18,3182994,6,51,8062873,0,0,0,0,0,0,0,0,0,0,0,0
201506,02,050,4,9,Bethel Census Area            ,2,2,650000,2,4,700000,0,0,0,0,0,0,2,2,650000,2,4,700000,0,0,0,0,0,0
201506,02,060,4,9,Bristol Bay Borough           ,1,1,129500,0,0,0,0,0,0,0,0,0,1,1,129500,0,0,0,0,0,0,0,0,0
201506,02,070,4,9,Dillingham Census Area        ,1,1,240312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201506,02,090,4,9,Fairbanks North Star Borough  ,4,4,1190000,0,0,0,0,0,0,0,0,0,4,4,1190000,0,0,0,0,0,0,0,0,0
201506,02,100,4,9,Haines Borough                ,2,2,583174,0,0,0,0,0,0,0,0,0,2,2,583174,0,0,0,0,0,0,0,0,0
201506,02,105,4,9,Hoonah-Angoon Census Area     ,1,1,255182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201506,02,110,4,9,Juneau Borough                ,34,34,8040993,2,4,646872,0,0,0,0,0,0,34,34,8040993,2,4,646872,0,0,0,0,0,0
201506,02,110,4,9,Juneau City and Borough       ,34,34,8040993,2,4,646872,0,0,0,0,0,0,34,34,8040993,2,4,646872,0,0,0,0,0,0
