Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201703,01,001,3,6,Autauga County                ,62,62,15913393,0,0,0,0,0,0,0,0,0,62,62,15913393,0,0,0,0,0,0,0,0,0
201703,01,007,3,6,Bibb County                   ,2,2,647726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,01,009,3,6,Blount County                 ,2,2,1081000,0,0,0,0,0,0,0,0,0,2,2,1081000,0,0,0,0,0,0,0,0,0
201703,01,021,3,6,Chilton County                ,11,11,1383000,0,0,0,0,0,0,0,0,0,11,11,1383000,0,0,0,0,0,0,0,0,0
201703,01,073,3,6,Jefferson County              ,371,371,98448046,0,0,0,1,4,875000,5,68,6534217,349,349,94648371,0,0,0,1,4,875000,1,6,650080
201703,01,081,3,6,Lee County                    ,256,256,73831656,9,18,1806258,0,0,0,1,14,1892000,256,256,73831656,9,18,1806258,0,0,0,1,14,1892000
201703,01,083,3,6,Limestone County              ,31,31,6874525,0,0,0,0,0,0,0,0,0,30,30,6747096,0,0,0,0,0,0,0,0,0
201703,01,089,3,6,Madison County                ,690,690,99362969,0,0,0,0,0,0,1,36,1589076,689,689,99236654,0,0,0,0,0,0,1,36,1589076
201703,01,113,3,6,Russell County                ,33,33,4795912,0,0,0,0,0,0,0,0,0,33,33,4795912,0,0,0,0,0,0,0,0,0
201703,01,115,3,6,St. Clair County              ,53,53,10142022,0,0,0,0,0,0,0,0,0,46,46,8663060,0,0,0,0,0,0,0,0,0
201703,01,117,3,6,Shelby County                 ,259,259,59529807,0,0,0,0,0,0,3,28,476000,122,122,25705588,0,0,0,0,0,0,0,0,0
201703,01,127,3,6,Walker County                 ,2,2,400000,0,0,0,0,0,0,0,0,0,2,2,400000,0,0,0,0,0,0,0,0,0
201703,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,020,4,9,Anchorage Municipality        ,174,174,54454822,0,0,0,3,10,1742273,4,31,4900963,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,050,4,9,Bethel Census Area            ,1,1,350000,0,0,0,0,0,0,0,0,0,1,1,350000,0,0,0,0,0,0,0,0,0
201703,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,100,4,9,Haines Borough                ,1,1,277264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201703,02,110,4,9,Juneau City and Borough       ,6,6,1543395,1,2,391732,0,0,0,0,0,0,6,6,1543395,1,2,391732,0,0,0,0,0,0
201703,02,122,4,9,Kenai Peninsula Borough       ,8,8,1829714,0,0,0,0,0,0,0,0,0,6,6,1428178,0,0,0,0,0,0,0,0,0
