Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200709,01,001,3,6,Autauga County                ,232,232,38107162,0,0,0,0,0,0,0,0,0,232,232,38107162,0,0,0,0,0,0,0,0,0
200709,01,007,3,6,Bibb County                   ,6,6,1172048,1,2,130000,0,0,0,0,0,0,6,6,1172048,1,2,130000,0,0,0,0,0,0
200709,01,009,3,6,Blount County                 ,30,30,4409363,0,0,0,1,4,151000,0,0,0,30,30,4409363,0,0,0,1,4,151000,0,0,0
200709,01,021,3,6,Chilton County                ,68,68,9178330,0,0,0,0,0,0,0,0,0,64,64,8585000,0,0,0,0,0,0,0,0,0
200709,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709,01,073,3,6,Jefferson County              ,2162,2162,404749440,0,0,0,2,8,1325632,3,65,6681869,2016,2016,375974234,0,0,0,2,8,1325632,1,48,5322456
200709,01,081,3,6,Lee County                    ,913,913,158328662,12,24,2238696,0,0,0,7,186,22788255,806,806,139554129,11,22,2100649,0,0,0,5,153,20003513
200709,01,115,3,6,St. Clair County              ,300,300,40126608,0,0,0,0,0,0,0,0,0,294,294,38915000,0,0,0,0,0,0,0,0,0
200709,01,117,3,6,Shelby County                 ,1523,1523,261801491,0,0,0,0,0,0,1,6,191400,981,981,169383612,0,0,0,0,0,0,1,6,191400
200709,01,127,3,6,Walker County                 ,42,42,7388000,0,0,0,0,0,0,0,0,0,42,42,7388000,0,0,0,0,0,0,0,0,0
200709,02,000,4,9,Alaska Balance of State       ,129,129,24960125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709,02,013,4,9,Aleutians East Borough        ,1,1,150000,0,0,0,3,12,2423244,0,0,0,0,0,0,0,0,0,3,12,2423244,0,0,0
200709,02,016,4,9,Aleutians West Census Area    ,6,6,588912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709,02,020,4,9,Anchorage Borough             ,252,252,87255432,64,128,26166504,30,119,17576406,16,174,21847174,252,252,87255432,64,128,26166504,30,119,17576406,16,174,21847174
200709,02,050,4,9,Bethel Census Area            ,27,27,3872584,1,2,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709,02,060,4,9,Bristol Bay Borough           ,3,3,600000,0,0,0,0,0,0,0,0,0,3,3,600000,0,0,0,0,0,0,0,0,0
200709,02,090,4,9,Fairbanks North Star Borough  ,69,69,9691491,3,6,833200,4,13,1173000,0,0,0,37,37,4471424,1,2,350000,3,10,930000,0,0,0
200709,02,100,4,9,Haines Borough                ,11,11,1635000,1,2,150000,0,0,0,0,0,0,11,11,1635000,1,2,150000,0,0,0,0,0,0
200709,02,110,4,9,Juneau Borough                ,45,45,11346467,4,8,1238527,0,0,0,0,0,0,45,45,11346467,4,8,1238527,0,0,0,0,0,0
200709,02,122,4,9,Kenai Peninsula Borough       ,91,91,16574652,5,10,839500,1,3,150000,3,27,3695771,87,87,15815143,4,8,781000,1,3,150000,3,27,3695771
200709,02,130,4,9,Ketchikan Gateway Borough     ,27,27,5355682,0,0,0,0,0,0,1,6,659262,27,27,5355682,0,0,0,0,0,0,1,6,659262
200709,02,150,4,9,Kodiak Island Borough         ,24,24,5366559,0,0,0,0,0,0,0,0,0,24,24,5366559,0,0,0,0,0,0,0,0,0
