Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201904,01,001,3,6,Autauga County                ,100,100,29556163,0,0,0,0,0,0,0,0,0,100,100,29556163,0,0,0,0,0,0,0,0,0
201904,01,007,3,6,Bibb County                   ,6,6,1582258,0,0,0,0,0,0,0,0,0,4,4,1072000,0,0,0,0,0,0,0,0,0
201904,01,009,3,6,Blount County                 ,9,9,1599189,0,0,0,0,0,0,0,0,0,9,9,1599189,0,0,0,0,0,0,0,0,0
201904,01,021,3,6,Chilton County                ,13,13,2127232,0,0,0,0,0,0,0,0,0,13,13,2127232,0,0,0,0,0,0,0,0,0
201904,01,073,3,6,Jefferson County              ,486,486,136820689,0,0,0,0,0,0,0,0,0,333,333,99247865,0,0,0,0,0,0,0,0,0
201904,01,081,3,6,Lee County                    ,418,418,113913315,15,30,3446774,9,27,3418857,4,79,18652270,295,295,79213793,13,26,3025436,9,27,3418857,2,13,1395578
201904,01,083,3,6,Limestone County              ,88,88,17609459,0,0,0,0,0,0,0,0,0,88,88,17609459,0,0,0,0,0,0,0,0,0
201904,01,089,3,6,Madison County                ,1051,1051,147728688,0,0,0,0,0,0,0,0,0,1051,1051,147728688,0,0,0,0,0,0,0,0,0
201904,01,113,3,6,Russell County                ,52,52,7277715,1,2,143676,0,0,0,0,0,0,44,44,6307796,1,2,143676,0,0,0,0,0,0
201904,01,115,3,6,St. Clair County              ,63,63,11810655,0,0,0,0,0,0,0,0,0,56,56,10332132,0,0,0,0,0,0,0,0,0
201904,01,117,3,6,Shelby County                 ,366,366,83639046,0,0,0,0,0,0,0,0,0,153,153,31957073,0,0,0,0,0,0,0,0,0
201904,01,127,3,6,Walker County                 ,7,7,1537077,0,0,0,0,0,0,0,0,0,6,6,1329299,0,0,0,0,0,0,0,0,0
201904,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,020,4,9,Anchorage Municipality        ,254,254,79565413,0,0,0,5,17,2953381,5,49,7746681,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,070,4,9,Dillingham Census Area        ,0,0,0,1,2,301442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,090,4,9,Fairbanks North Star Borough  ,1,1,384146,0,0,0,0,0,0,0,0,0,1,1,384146,0,0,0,0,0,0,0,0,0
201904,02,100,4,9,Haines Borough                ,3,3,835275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,02,105,4,9,Hoonah-Angoon Census Area     ,2,2,383382,0,0,0,0,0,0,0,0,0,2,2,383382,0,0,0,0,0,0,0,0,0
201904,02,110,4,9,Juneau City and Borough       ,22,22,3760718,1,2,288784,0,0,0,1,5,977483,22,22,3760718,1,2,288784,0,0,0,1,5,977483
201904,02,122,4,9,Kenai Peninsula Borough       ,19,19,4864130,2,4,399200,1,4,800000,0,0,0,9,9,2795000,1,2,289200,1,4,800000,0,0,0
