Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201207,01,001,3,6,Autauga County                ,74,74,18487651,0,0,0,0,0,0,0,0,0,74,74,18487651,0,0,0,0,0,0,0,0,0
201207,01,007,3,6,Bibb County                   ,10,10,1665615,0,0,0,0,0,0,0,0,0,1,1,145000,0,0,0,0,0,0,0,0,0
201207,01,009,3,6,Blount County                 ,4,4,700809,0,0,0,0,0,0,0,0,0,4,4,700809,0,0,0,0,0,0,0,0,0
201207,01,021,3,6,Chilton County                ,10,10,1292694,0,0,0,0,0,0,0,0,0,8,8,1027000,0,0,0,0,0,0,0,0,0
201207,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201207,01,073,3,6,Jefferson County              ,733,733,172045965,0,0,0,0,0,0,22,535,39627560,707,707,168580443,0,0,0,0,0,0,18,511,38427560
201207,01,081,3,6,Lee County                    ,397,397,98592513,0,0,0,0,0,0,7,56,5723194,397,397,98592513,0,0,0,0,0,0,7,56,5723194
201207,01,115,3,6,St. Clair County              ,78,78,9392653,0,0,0,0,0,0,0,0,0,41,41,4651399,0,0,0,0,0,0,0,0,0
201207,01,117,3,6,Shelby County                 ,306,306,55096303,0,0,0,0,0,0,0,0,0,135,135,22337344,0,0,0,0,0,0,0,0,0
201207,01,127,3,6,Walker County                 ,5,5,763701,0,0,0,0,0,0,0,0,0,4,4,560000,0,0,0,0,0,0,0,0,0
201207,02,000,4,9,Alaska Balance of State       ,35,35,8557614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201207,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201207,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201207,02,020,4,9,Anchorage Borough             ,320,320,89095261,4,8,1663199,3,11,2113776,1,6,1257811,320,320,89095261,4,8,1663199,3,11,2113776,1,6,1257811
201207,02,050,4,9,Bethel Census Area            ,2,2,600000,0,0,0,0,0,0,0,0,0,2,2,600000,0,0,0,0,0,0,0,0,0
201207,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201207,02,090,4,9,Fairbanks North Star Borough  ,27,27,4909428,0,0,0,0,0,0,0,0,0,1,1,130000,0,0,0,0,0,0,0,0,0
201207,02,100,4,9,Haines Borough                ,1,1,227053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201207,02,110,4,9,Juneau Borough                ,12,12,3485282,0,0,0,0,0,0,1,24,3030720,12,12,3485282,0,0,0,0,0,0,1,24,3030720
201207,02,122,4,9,Kenai Peninsula Borough       ,34,34,8182990,0,0,0,1,3,400000,0,0,0,32,32,7621701,0,0,0,1,3,400000,0,0,0
201207,02,130,4,9,Ketchikan Gateway Borough     ,16,16,3586915,2,4,521215,0,0,0,0,0,0,16,16,3586915,2,4,521215,0,0,0,0,0,0
201207,02,150,4,9,Kodiak Island Borough         ,8,8,2171237,2,4,328870,0,0,0,0,0,0,8,8,2171237,2,4,328870,0,0,0,0,0,0
