Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201910,01,001,3,6,Autauga County                ,208,208,59769031,0,0,0,0,0,0,0,0,0,208,208,59769031,0,0,0,0,0,0,0,0,0
201910,01,007,3,6,Bibb County                   ,9,9,2112387,0,0,0,1,3,280000,0,0,0,6,6,1347000,0,0,0,1,3,280000,0,0,0
201910,01,009,3,6,Blount County                 ,23,23,3928560,0,0,0,1,4,175000,0,0,0,23,23,3928560,0,0,0,1,4,175000,0,0,0
201910,01,021,3,6,Chilton County                ,29,29,4664882,0,0,0,0,0,0,0,0,0,29,29,4664882,0,0,0,0,0,0,0,0,0
201910,01,073,3,6,Jefferson County              ,1278,1278,375336121,7,14,1731303,0,0,0,9,85,8760598,903,903,259738970,0,0,0,0,0,0,0,0,0
201910,01,081,3,6,Lee County                    ,939,939,255679546,32,64,8520381,15,51,6771890,11,616,94568786,898,898,245634672,32,64,8520381,15,51,6771890,11,616,94568786
201910,01,083,3,6,Limestone County              ,232,232,51117295,0,0,0,0,0,0,0,0,0,232,232,51117295,0,0,0,0,0,0,0,0,0
201910,01,089,3,6,Madison County                ,2654,2654,389552729,0,0,0,15,60,1050000,17,85,2190000,2639,2639,386015558,0,0,0,15,60,1050000,17,85,2190000
201910,01,113,3,6,Russell County                ,145,145,21281554,1,2,143676,0,0,0,0,0,0,128,128,19052858,1,2,143676,0,0,0,0,0,0
201910,01,115,3,6,St. Clair County              ,207,207,37590758,0,0,0,0,0,0,0,0,0,183,183,33138846,0,0,0,0,0,0,0,0,0
201910,01,117,3,6,Shelby County                 ,878,878,220076183,0,0,0,0,0,0,0,0,0,408,408,103188867,0,0,0,0,0,0,0,0,0
201910,01,127,3,6,Walker County                 ,28,28,5526918,0,0,0,0,0,0,0,0,0,27,27,5319140,0,0,0,0,0,0,0,0,0
201910,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,02,016,4,9,Aleutians West Census Area    ,3,3,294354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,02,020,4,9,Anchorage Municipality        ,703,703,220221950,0,0,0,11,41,7122244,17,140,22133378,0,0,0,0,0,0,0,0,0,0,0,0
201910,02,050,4,9,Bethel Census Area            ,7,7,1984531,2,4,691566,1,3,372759,0,0,0,7,7,1984531,2,4,691566,1,3,372759,0,0,0
201910,02,060,4,9,Bristol Bay Borough           ,8,8,925000,0,0,0,0,0,0,0,0,0,8,8,925000,0,0,0,0,0,0,0,0,0
201910,02,070,4,9,Dillingham Census Area        ,2,2,565670,0,0,0,0,0,0,0,0,0,2,2,565670,0,0,0,0,0,0,0,0,0
201910,02,090,4,9,Fairbanks North Star Borough  ,7,7,2356675,0,0,0,4,16,2228168,0,0,0,6,6,2088721,0,0,0,4,16,2228168,0,0,0
201910,02,100,4,9,Haines Borough                ,9,9,1917910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,02,105,4,9,Hoonah-Angoon Census Area     ,4,4,949052,0,0,0,0,0,0,0,0,0,4,4,949052,0,0,0,0,0,0,0,0,0
201910,02,110,4,9,Juneau City and Borough       ,47,47,8787780,1,2,288784,1,4,456905,15,115,14013503,47,47,8787780,1,2,288784,1,4,456905,15,115,14013503
