Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200102,01,001,3,6,Autauga County                ,25,25,1705000,0,0,0,0,0,0,15,224,11208275,25,25,1705000,0,0,0,0,0,0,15,224,11208275
200102,01,081,3,6,Lee County                    ,51,51,6878231,6,12,693932,0,0,0,4,146,7750000,51,51,6878231,6,12,693932,0,0,0,4,146,7750000
200102,01,113,3,6,Russell County                ,44,44,2874788,3,6,203205,0,0,0,0,0,0,44,44,2874788,3,6,203205,0,0,0,0,0,0
200102,02,000,4,9,Alaska Balance of State       ,8,8,1393858,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
200102,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200102,02,016,4,9,Aleutians West Census Area    ,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
200102,02,020,4,9,Anchorage Borough             ,125,125,24998979,47,94,10486613,4,16,1970090,0,0,0,125,125,24998979,47,94,10486613,4,16,1970090,0,0,0
200102,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200102,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200102,02,090,4,9,Fairbanks North Star Borough  ,2,2,195000,0,0,0,0,0,0,0,0,0,2,2,195000,0,0,0,0,0,0,0,0,0
200102,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200102,02,110,4,9,Juneau Borough                ,5,5,1063754,0,0,0,0,0,0,0,0,0,5,5,1063754,0,0,0,0,0,0,0,0,0
200102,02,122,4,9,Kenai Peninsula Borough       ,3,3,332600,0,0,0,0,0,0,0,0,0,1,1,118000,0,0,0,0,0,0,0,0,0
200102,02,130,4,9,Ketchikan Gateway Borough     ,5,5,613056,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
200102,02,150,4,9,Kodiak Island Borough         ,2,2,232936,0,0,0,0,0,0,0,0,0,2,2,232936,0,0,0,0,0,0,0,0,0
200102,02,170,4,9,Matanuska-Susitna Borough     ,8,8,1248249,1,2,195556,0,0,0,0,0,0,8,8,1248249,1,2,195556,0,0,0,0,0,0
200102,02,180,4,9,Nome Census Area              ,1,1,139422,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
200102,02,185,4,9,North Slope Borough           ,4,4,459785,1,2,162616,0,0,0,0,0,0,1,1,138734,0,0,0,0,0,0,0,0,0
200102,02,201,4,9,Prince of Wales-Outer Ketchika,1,1,129086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200102,02,220,4,9,Sitka Borough                 ,4,4,364712,1,2,145627,0,0,0,0,0,0, , , , , , , , , , , , 
200102,02,232,4,9,Skagway-Hoonah-Angoon Census A,3,3,317467,0,0,0,0,0,0,0,0,0,3,3,317467,0,0,0,0,0,0,0,0,0
200102,02,261,4,9,Valdez-Cordova Census Area    ,1,1,119483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200102,02,280,4,9,Wrangell-Petersburg Census Are,2,2,338975,0,0,0,0,0,0,0,0,0,2,2,338975,0,0,0,0,0,0,0,0,0
