Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201208,01,001,3,6,Autauga County                ,87,87,22214323,0,0,0,0,0,0,0,0,0,87,87,22214323,0,0,0,0,0,0,0,0,0
201208,01,007,3,6,Bibb County                   ,11,11,1837399,0,0,0,0,0,0,0,0,0,1,1,145000,0,0,0,0,0,0,0,0,0
201208,01,009,3,6,Blount County                 ,5,5,783969,0,0,0,0,0,0,0,0,0,5,5,783969,0,0,0,0,0,0,0,0,0
201208,01,021,3,6,Chilton County                ,12,12,1529344,0,0,0,0,0,0,0,0,0,10,10,1263650,0,0,0,0,0,0,0,0,0
201208,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201208,01,073,3,6,Jefferson County              ,832,832,195212127,0,0,0,0,0,0,35,884,65265126,797,797,190706960,0,0,0,0,0,0,30,853,63715126
201208,01,081,3,6,Lee County                    ,463,463,117249589,0,0,0,0,0,0,7,56,5723194,463,463,117249589,0,0,0,0,0,0,7,56,5723194
201208,01,115,3,6,St. Clair County              ,90,90,10968341,0,0,0,0,0,0,0,0,0,41,41,4651399,0,0,0,0,0,0,0,0,0
201208,01,117,3,6,Shelby County                 ,361,361,65813107,0,0,0,0,0,0,0,0,0,162,162,27333618,0,0,0,0,0,0,0,0,0
201208,01,127,3,6,Walker County                 ,5,5,763701,0,0,0,0,0,0,0,0,0,4,4,560000,0,0,0,0,0,0,0,0,0
201208,02,000,4,9,Alaska Balance of State       ,41,41,10029907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201208,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201208,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201208,02,020,4,9,Anchorage Borough             ,363,363,102838525,4,8,1663199,3,11,2113776,1,6,1257811,363,363,102838525,4,8,1663199,3,11,2113776,1,6,1257811
201208,02,050,4,9,Bethel Census Area            ,2,2,600000,0,0,0,0,0,0,0,0,0,2,2,600000,0,0,0,0,0,0,0,0,0
201208,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201208,02,090,4,9,Fairbanks North Star Borough  ,31,31,5644505,0,0,0,0,0,0,0,0,0,1,1,130000,0,0,0,0,0,0,0,0,0
201208,02,100,4,9,Haines Borough                ,1,1,227053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201208,02,110,4,9,Juneau Borough                ,15,15,4010724,0,0,0,0,0,0,1,24,3030720,15,15,4010724,0,0,0,0,0,0,1,24,3030720
201208,02,122,4,9,Kenai Peninsula Borough       ,35,35,8278990,0,0,0,1,3,400000,0,0,0,33,33,7717701,0,0,0,1,3,400000,0,0,0
201208,02,130,4,9,Ketchikan Gateway Borough     ,18,18,4037211,2,4,521215,0,0,0,0,0,0,18,18,4037211,2,4,521215,0,0,0,0,0,0
201208,02,150,4,9,Kodiak Island Borough         ,8,8,2171237,2,4,328870,0,0,0,0,0,0,8,8,2171237,2,4,328870,0,0,0,0,0,0
