Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200602,01,001,3,6,Autauga County                ,60,60,10278811,0,0,0,0,0,0,0,0,0,60,60,10278811,0,0,0,0,0,0,0,0,0
200602,01,007,3,6,Bibb County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200602,01,009,3,6,Blount County                 ,5,5,849610,0,0,0,0,0,0,0,0,0,5,5,849610,0,0,0,0,0,0,0,0,0
200602,01,021,3,6,Chilton County                ,10,10,1460417,0,0,0,0,0,0,2,10,612244,7,7,795000,0,0,0,0,0,0,0,0,0
200602,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200602,01,073,3,6,Jefferson County              ,651,651,116085383,0,0,0,3,9,540000,15,306,14594992,624,624,112447576,0,0,0,3,9,540000,15,306,14594992
200602,01,081,3,6,Lee County                    ,278,278,42812039,6,12,774376,0,0,0,0,0,0,278,278,42812039,6,12,774376,0,0,0,0,0,0
200602,01,115,3,6,St. Clair County              ,119,119,13298049,5,10,400000,0,0,0,0,0,0,119,119,13298049,5,10,400000,0,0,0,0,0,0
200602,01,117,3,6,Shelby County                 ,404,404,65956532,0,0,0,0,0,0,0,0,0,205,205,35390863,0,0,0,0,0,0,0,0,0
200602,01,127,3,6,Walker County                 ,9,9,1553250,0,0,0,0,0,0,0,0,0,7,7,1280000,0,0,0,0,0,0,0,0,0
200602,02,000,4,9,Alaska Balance of State       ,28,28,5360505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200602,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200602,02,016,4,9,Aleutians West Census Area    ,1,1,96302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200602,02,020,4,9,Anchorage Borough             ,57,57,12034097,3,6,1700187,5,16,1541759,2,165,18552830,57,57,12034097,3,6,1700187,5,16,1541759,2,165,18552830
200602,02,050,4,9,Bethel Census Area            ,5,5,739130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200602,02,060,4,9,Bristol Bay Borough           ,3,3,362352,0,0,0,0,0,0,0,0,0,3,3,362352,0,0,0,0,0,0,0,0,0
200602,02,090,4,9,Fairbanks North Star Borough  ,11,11,1597414,1,2,200000,0,0,0,0,0,0,7,7,1173000,1,2,200000,0,0,0,0,0,0
200602,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200602,02,110,4,9,Juneau Borough                ,5,5,1603458,0,0,0,0,0,0,0,0,0,5,5,1603458,0,0,0,0,0,0,0,0,0
200602,02,122,4,9,Kenai Peninsula Borough       ,8,8,1365742,0,0,0,0,0,0,0,0,0,6,6,1045000,0,0,0,0,0,0,0,0,0
200602,02,130,4,9,Ketchikan Gateway Borough     ,4,4,694704,0,0,0,0,0,0,0,0,0,4,4,694704,0,0,0,0,0,0,0,0,0
200602,02,150,4,9,Kodiak Island Borough         ,2,2,431465,0,0,0,0,0,0,0,0,0,2,2,431465,0,0,0,0,0,0,0,0,0
200602,02,170,4,9,Matanuska-Susitna Borough     ,13,13,1857516,3,6,581675,0,0,0,0,0,0,7,7,1197516,3,6,581675,0,0,0,0,0,0
