Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201508,01,001,3,6,Autauga County                ,112,112,28021382,0,0,0,0,0,0,0,0,0,112,112,28021382,0,0,0,0,0,0,0,0,0
201508,01,007,3,6,Bibb County                   ,17,17,3030724,0,0,0,0,0,0,0,0,0,3,3,619000,0,0,0,0,0,0,0,0,0
201508,01,009,3,6,Blount County                 ,4,4,569173,0,0,0,0,0,0,2,40,3831302,4,4,569173,0,0,0,0,0,0,2,40,3831302
201508,01,021,3,6,Chilton County                ,17,17,1718200,0,0,0,0,0,0,0,0,0,17,17,1718200,0,0,0,0,0,0,0,0,0
201508,01,073,3,6,Jefferson County              ,948,948,247835095,0,0,0,0,0,2346506,18,766,85046824,904,904,239765331,0,0,0,0,0,2346506,16,756,84715046
201508,01,083,3,6,Limestone County              ,65,65,14114522,0,0,0,0,0,0,0,0,0,64,64,13986522,0,0,0,0,0,0,0,0,0
201508,01,089,3,6,Madison County                ,1344,1344,200496413,1,2,219948,4,16,340000,14,326,21387214,1340,1340,199991153,1,2,219948,4,16,340000,14,326,21387214
201508,01,113,3,6,Russell County                ,125,125,22017760,1,2,113764,0,0,0,8,312,22036000,114,114,20070736,1,2,113764,0,0,0,8,312,22036000
201508,01,115,3,6,St. Clair County              ,77,77,12109178,0,0,0,0,0,0,0,0,0,72,72,11409178,0,0,0,0,0,0,0,0,0
201508,01,117,3,6,Shelby County                 ,649,649,146106176,0,0,0,0,0,0,0,0,0,368,368,77517851,0,0,0,0,0,0,0,0,0
201508,01,127,3,6,Walker County                 ,8,8,2400000,0,0,0,0,0,0,0,0,0,8,8,2400000,0,0,0,0,0,0,0,0,0
201508,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201508,02,016,4,9,Aleutians West Census Area    ,2,2,196236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201508,02,020,4,9,Anchorage Borough             ,438,438,136743805,1,2,322399,8,24,4212722,9,82,12963835,0,0,0,0,0,0,0,0,0,0,0,0
201508,02,020,4,9,Anchorage Municipality        ,438,438,136743805,1,2,322399,8,24,4212722,9,82,12963835,0,0,0,0,0,0,0,0,0,0,0,0
201508,02,050,4,9,Bethel Census Area            ,6,6,1300000,2,4,700000,0,0,0,0,0,0,6,6,1300000,2,4,700000,0,0,0,0,0,0
201508,02,060,4,9,Bristol Bay Borough           ,3,3,401500,0,0,0,0,0,0,0,0,0,3,3,401500,0,0,0,0,0,0,0,0,0
201508,02,070,4,9,Dillingham Census Area        ,2,2,480624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201508,02,090,4,9,Fairbanks North Star Borough  ,5,5,1580000,0,0,0,0,0,0,0,0,0,5,5,1580000,0,0,0,0,0,0,0,0,0
201508,02,100,4,9,Haines Borough                ,4,4,1117624,0,0,0,0,0,0,0,0,0,4,4,1117624,0,0,0,0,0,0,0,0,0
201508,02,105,4,9,Hoonah-Angoon Census Area     ,1,1,291587,0,0,0,0,0,0,0,0,0,1,1,291587,0,0,0,0,0,0,0,0,0
201508,02,110,4,9,Juneau Borough                ,50,50,11352247,2,4,646872,0,0,0,0,0,0,50,50,11352247,2,4,646872,0,0,0,0,0,0
