Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200109,01,001,3,6,Autauga County                ,124,124,7335523,0,0,0,0,0,0,15,224,11208275,124,124,7335523,0,0,0,0,0,0,15,224,11208275
200109,01,081,3,6,Lee County                    ,292,292,39288039,18,36,2072684,0,0,0,21,279,14939513,292,292,39288039,18,36,2072684,0,0,0,21,279,14939513
200109,01,113,3,6,Russell County                ,141,141,12418930,16,32,2246911,0,0,0,3,29,1233712,141,141,12418930,16,32,2246911,0,0,0,3,29,1233712
200109,02,000,4,9,Alaska Balance of State       ,103,103,19688544,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
200109,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200109,02,016,4,9,Aleutians West Census Area    ,8,8,1132737,0,0,0,0,0,0,3,15,2149086,2,2,270000,0,0,0,0,0,0,0,0,0
200109,02,020,4,9,Anchorage Borough             ,847,847,161420942,289,578,67105714,15,57,7389672,20,162,13075094,847,847,161420942,289,578,67105714,15,57,7389672,20,162,13075094
200109,02,050,4,9,Bethel Census Area            ,16,16,2025000,0,0,0,0,0,0,0,0,0,16,16,2025000,0,0,0,0,0,0,0,0,0
200109,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200109,02,090,4,9,Fairbanks North Star Borough  ,137,137,16188224,1,2,107200,0,0,0,2,12,1181500,106,106,13208500,0,0,0,0,0,0,2,12,1181500
200109,02,100,4,9,Haines Borough                ,14,14,1425000,0,0,0,0,0,0,0,0,0,14,14,1425000,0,0,0,0,0,0,0,0,0
200109,02,110,4,9,Juneau Borough                ,47,47,11581591,3,6,679021,1,4,497063,0,0,0,47,47,11581591,3,6,679021,1,4,497063,0,0,0
200109,02,122,4,9,Kenai Peninsula Borough       ,76,76,11583221,0,0,0,0,0,0,0,0,0,61,61,10116447,0,0,0,0,0,0,0,0,0
200109,02,130,4,9,Ketchikan Gateway Borough     ,22,22,3159245,2,4,378368,0,0,0,1,24,1679856,14,14,2137721,2,4,378368,0,0,0,1,24,1679856
200109,02,150,4,9,Kodiak Island Borough         ,34,34,4795583,0,0,0,1,4,386780,0,0,0,23,23,3305773,0,0,0,1,4,386780,0,0,0
200109,02,170,4,9,Matanuska-Susitna Borough     ,47,47,6978980,20,40,5294601,1,4,321884,10,77,6813971,44,44,6574240,20,40,5294601,1,4,321884,9,72,6471893
200109,02,180,4,9,Nome Census Area              ,3,3,414948,0,0,0,0,0,0,0,0,0,3,3,414948,0,0,0,0,0,0,0,0,0
200109,02,185,4,9,North Slope Borough           ,15,15,1827267,2,4,325232,0,0,0,0,0,0,1,1,138734,0,0,0,0,0,0,0,0,0
200109,02,201,4,9,Prince of Wales-Outer Ketchika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200109,02,220,4,9,Sitka Borough                 ,23,23,2097094,7,14,1019389,0,0,0,0,0,0, , , , , , , , , , , , 
200109,02,232,4,9,Skagway-Hoonah-Angoon Census A,16,16,1910076,0,0,0,0,0,0,0,0,0,13,13,1672576,0,0,0,0,0,0,0,0,0
200109,02,261,4,9,Valdez-Cordova Census Area    ,29,29,4365318,0,0,0,0,0,0,0,0,0,29,29,4365318,0,0,0,0,0,0,0,0,0
