Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200806,01,001,3,6,Autauga County                ,113,113,18689807,0,0,0,0,0,0,0,0,0,51,51,8205365,0,0,0,0,0,0,0,0,0
200806,01,007,3,6,Bibb County                   ,8,8,1277500,0,0,0,0,0,0,0,0,0,8,8,1277500,0,0,0,0,0,0,0,0,0
200806,01,009,3,6,Blount County                 ,11,11,1712376,3,6,176700,0,0,0,0,0,0,10,10,1626831,3,6,176700,0,0,0,0,0,0
200806,01,021,3,6,Chilton County                ,20,20,2495542,0,0,0,0,0,0,0,0,0,18,18,2254150,0,0,0,0,0,0,0,0,0
200806,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200806,01,073,3,6,Jefferson County              ,911,911,166274108,4,8,476798,1,4,604000,23,640,72216621,780,780,143914942,4,8,476798,1,4,604000,10,397,54544182
200806,01,081,3,6,Lee County                    ,440,440,84393470,5,10,1110486,1,4,450036,2,25,2573211,383,383,73174756,4,8,919518,1,4,450036,0,0,0
200806,01,115,3,6,St. Clair County              ,90,90,12409070,0,0,0,0,0,0,0,0,0,90,90,12409070,0,0,0,0,0,0,0,0,0
200806,01,117,3,6,Shelby County                 ,474,474,76116245,0,0,0,0,0,0,4,40,1200000,220,220,32989696,0,0,0,0,0,0,4,40,1200000
200806,01,127,3,6,Walker County                 ,13,13,2179833,0,0,0,0,0,0,3,15,1426830,6,6,941000,0,0,0,0,0,0,0,0,0
200806,02,000,4,9,Alaska Balance of State       ,52,52,10024079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200806,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200806,02,016,4,9,Aleutians West Census Area    ,2,2,196219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200806,02,020,4,9,Anchorage Borough             ,106,106,39810174,15,30,7046236,6,22,5158480,3,26,4073468,106,106,39810174,15,30,7046236,6,22,5158480,3,26,4073468
200806,02,050,4,9,Bethel Census Area            ,10,10,1435153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200806,02,060,4,9,Bristol Bay Borough           ,8,8,1100000,0,0,0,0,0,0,0,0,0,8,8,1100000,0,0,0,0,0,0,0,0,0
200806,02,090,4,9,Fairbanks North Star Borough  ,36,36,6817815,3,6,724800,0,0,0,0,0,0,2,2,385000,0,0,0,0,0,0,0,0,0
200806,02,100,4,9,Haines Borough                ,2,2,502573,0,0,0,0,0,0,0,0,0,2,2,502573,0,0,0,0,0,0,0,0,0
200806,02,110,4,9,Juneau Borough                ,13,13,3547929,0,0,0,0,0,0,0,0,0,10,10,2714592,0,0,0,0,0,0,0,0,0
200806,02,122,4,9,Kenai Peninsula Borough       ,45,45,9368990,0,0,0,0,0,0,0,0,0,34,34,7303654,0,0,0,0,0,0,0,0,0
200806,02,130,4,9,Ketchikan Gateway Borough     ,22,22,4698062,0,0,0,0,0,0,1,8,863544,22,22,4698062,0,0,0,0,0,0,1,8,863544
200806,02,150,4,9,Kodiak Island Borough         ,11,11,2336049,0,0,0,0,0,0,0,0,0,11,11,2336049,0,0,0,0,0,0,0,0,0
