Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200112,01,001,3,6,Autauga County                ,176,176,10280503,0,0,0,0,0,0,15,224,11208275,176,176,10280503,0,0,0,0,0,0,15,224,11208275
200112,01,081,3,6,Lee County                    ,365,365,48353387,22,44,2569300,4,13,719170,43,541,26672346,365,365,48353387,22,44,2569300,4,13,719170,43,541,26672346
200112,01,113,3,6,Russell County                ,201,201,17781965,17,34,2367247,0,0,0,4,37,1584212,201,201,17781965,17,34,2367247,0,0,0,4,37,1584212
200112,02,000,4,9,Alaska Balance of State       ,129,129,24811815,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
200112,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200112,02,016,4,9,Aleutians West Census Area    ,8,8,1132737,0,0,0,0,0,0,3,15,2149086,2,2,270000,0,0,0,0,0,0,0,0,0
200112,02,020,4,9,Anchorage Borough             ,1055,1055,208312072,324,648,80437334,22,84,10841298,22,178,14613585,1055,1055,208312072,324,648,80437334,22,84,10841298,22,178,14613585
200112,02,050,4,9,Bethel Census Area            ,22,22,2925000,0,0,0,0,0,0,0,0,0,22,22,2925000,0,0,0,0,0,0,0,0,0
200112,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200112,02,090,4,9,Fairbanks North Star Borough  ,169,169,20526872,1,2,107200,0,0,0,2,12,1181500,136,136,17363500,0,0,0,0,0,0,2,12,1181500
200112,02,100,4,9,Haines Borough                ,15,15,1435000,0,0,0,0,0,0,0,0,0,15,15,1435000,0,0,0,0,0,0,0,0,0
200112,02,110,4,9,Juneau Borough                ,61,61,14182033,8,16,2353100,2,8,993672,0,0,0,61,61,14182033,8,16,2353100,2,8,993672,0,0,0
200112,02,122,4,9,Kenai Peninsula Borough       ,88,88,13194809,0,0,0,0,0,0,0,0,0,67,67,11105447,0,0,0,0,0,0,0,0,0
200112,02,130,4,9,Ketchikan Gateway Borough     ,26,26,3753484,2,4,378368,0,0,0,1,24,1679856,17,17,2595804,2,4,378368,0,0,0,1,24,1679856
200112,02,150,4,9,Kodiak Island Borough         ,38,38,5632507,2,4,444787,1,4,386780,0,0,0,38,38,5632507,2,4,444787,1,4,386780,0,0,0
200112,02,170,4,9,Matanuska-Susitna Borough     ,61,61,9245109,20,40,5294601,2,8,511964,9,72,6471893,61,61,9245109,20,40,5294601,2,8,511964,9,72,6471893
200112,02,180,4,9,Nome Census Area              ,3,3,414948,0,0,0,0,0,0,0,0,0,3,3,414948,0,0,0,0,0,0,0,0,0
200112,02,185,4,9,North Slope Borough           ,18,18,2243466,2,4,325232,0,0,0,0,0,0,1,1,138734,0,0,0,0,0,0,0,0,0
200112,02,201,4,9,Prince of Wales-Outer Ketchika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200112,02,220,4,9,Sitka Borough                 ,29,29,2644162,9,18,1310643,0,0,0,0,0,0, , , , , , , , , , , , 
200112,02,232,4,9,Skagway-Hoonah-Angoon Census A,13,13,1672576,0,0,0,0,0,0,0,0,0,13,13,1672576,0,0,0,0,0,0,0,0,0
200112,02,261,4,9,Valdez-Cordova Census Area    ,32,32,4885298,0,0,0,0,0,0,0,0,0,30,30,4531318,0,0,0,0,0,0,0,0,0
