Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200703,01,001,3,6,Autauga County                ,92,92,14618145,0,0,0,0,0,0,0,0,0,92,92,14618145,0,0,0,0,0,0,0,0,0
200703,01,007,3,6,Bibb County                   ,1,1,157048,0,0,0,0,0,0,0,0,0,1,1,157048,0,0,0,0,0,0,0,0,0
200703,01,009,3,6,Blount County                 ,21,21,2763878,0,0,0,0,0,0,0,0,0,21,21,2763878,0,0,0,0,0,0,0,0,0
200703,01,021,3,6,Chilton County                ,19,19,2777440,0,0,0,0,0,0,0,0,0,17,17,2473000,0,0,0,0,0,0,0,0,0
200703,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703,01,073,3,6,Jefferson County              ,688,688,131146416,0,0,0,0,0,0,1,48,5322456,605,605,113452805,0,0,0,0,0,0,1,48,5322456
200703,01,081,3,6,Lee County                    ,320,320,55614010,6,12,1213369,0,0,0,4,136,17074250,320,320,55614010,6,12,1213369,0,0,0,4,136,17074250
200703,01,115,3,6,St. Clair County              ,109,109,16064261,0,0,0,0,0,0,0,0,0,109,109,16064261,0,0,0,0,0,0,0,0,0
200703,01,117,3,6,Shelby County                 ,551,551,94287294,0,0,0,0,0,0,0,0,0,347,347,58915031,0,0,0,0,0,0,0,0,0
200703,01,127,3,6,Walker County                 ,17,17,2627000,0,0,0,0,0,0,0,0,0,17,17,2627000,0,0,0,0,0,0,0,0,0
200703,02,000,4,9,Alaska Balance of State       ,37,37,7113979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,1,4,423244,0,0,0,0,0,0,0,0,0,1,4,423244,0,0,0
200703,02,016,4,9,Aleutians West Census Area    ,2,2,196600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703,02,020,4,9,Anchorage Borough             ,46,46,17479494,35,70,11303832,1,4,719762,3,70,4191379,46,46,17479494,35,70,11303832,1,4,719762,3,70,4191379
200703,02,050,4,9,Bethel Census Area            ,8,8,1144216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703,02,090,4,9,Fairbanks North Star Borough  ,20,20,3530472,0,0,0,0,0,0,0,0,0,17,17,3255000,0,0,0,0,0,0,0,0,0
200703,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703,02,110,4,9,Juneau Borough                ,9,9,2498358,2,4,634353,0,0,0,0,0,0,9,9,2498358,2,4,634353,0,0,0,0,0,0
200703,02,122,4,9,Kenai Peninsula Borough       ,7,7,1366563,2,4,139500,0,0,0,0,0,0,5,5,981721,1,2,81000,0,0,0,0,0,0
200703,02,130,4,9,Ketchikan Gateway Borough     ,7,7,1304226,0,0,0,0,0,0,1,6,659262,7,7,1304226,0,0,0,0,0,0,1,6,659262
200703,02,150,4,9,Kodiak Island Borough         ,2,2,284032,0,0,0,0,0,0,0,0,0,2,2,284032,0,0,0,0,0,0,0,0,0
