Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201712,01,001,3,6,Autauga County                ,188,188,51711467,0,0,0,0,0,0,0,0,0,188,188,51711467,0,0,0,0,0,0,0,0,0
201712,01,007,3,6,Bibb County                   ,10,10,2551290,0,0,0,0,0,0,0,0,0,2,2,490000,0,0,0,0,0,0,0,0,0
201712,01,009,3,6,Blount County                 ,18,18,4265412,0,0,0,0,0,0,0,0,0,18,18,4265412,0,0,0,0,0,0,0,0,0
201712,01,021,3,6,Chilton County                ,45,45,5923500,0,0,0,0,0,0,0,0,0,45,45,5923500,0,0,0,0,0,0,0,0,0
201712,01,073,3,6,Jefferson County              ,1418,1418,378948730,1,2,107950,1,4,875000,8,138,17742225,1344,1344,365035659,1,2,107950,1,4,875000,1,6,650080
201712,01,081,3,6,Lee County                    ,977,977,270687138,13,26,2738703,1,4,734668,3,360,94127413,883,883,244275465,11,22,2450203,1,4,734668,3,360,94127413
201712,01,083,3,6,Limestone County              ,163,163,29340958,0,0,0,0,0,0,0,0,0,161,161,29134862,0,0,0,0,0,0,0,0,0
201712,01,089,3,6,Madison County                ,2415,2415,365052212,1,2,217141,0,0,0,6,380,29062603,2412,2412,364673267,1,2,217141,0,0,0,6,380,29062603
201712,01,113,3,6,Russell County                ,143,143,20465101,0,0,0,0,0,0,9,84,10227774,143,143,20465101,0,0,0,0,0,0,9,84,10227774
201712,01,115,3,6,St. Clair County              ,164,164,31357412,0,0,0,0,0,0,0,0,0,129,129,24343543,0,0,0,0,0,0,0,0,0
201712,01,117,3,6,Shelby County                 ,1056,1056,240819461,0,0,0,0,0,0,12,75,7688150,446,446,90776263,0,0,0,0,0,0,0,0,0
201712,01,127,3,6,Walker County                 ,9,9,1870000,0,0,0,0,0,0,0,0,0,9,9,1870000,0,0,0,0,0,0,0,0,0
201712,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201712,02,016,4,9,Aleutians West Census Area    ,6,6,588708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201712,02,020,4,9,Anchorage Municipality        ,800,800,250599715,0,0,0,14,47,8165231,19,172,27192436,0,0,0,0,0,0,0,0,0,0,0,0
201712,02,050,4,9,Bethel Census Area            ,15,15,3522104,0,0,0,0,0,0,0,0,0,15,15,3522104,0,0,0,0,0,0,0,0,0
201712,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201712,02,070,4,9,Dillingham Census Area        ,3,3,866480,1,2,301442,0,0,0,0,0,0,1,1,291052,1,2,301442,0,0,0,0,0,0
201712,02,090,4,9,Fairbanks North Star Borough  ,7,7,1850000,0,0,0,2,8,1100000,0,0,0,7,7,1850000,0,0,0,2,8,1100000,0,0,0
201712,02,100,4,9,Haines Borough                ,9,9,2505824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201712,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201712,02,110,4,9,Juneau City and Borough       ,46,46,10469964,5,10,1529677,0,0,0,1,8,2033161,46,46,10469964,5,10,1529677,0,0,0,1,8,2033161
