Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201902,01,001,3,6,Autauga County                ,43,43,12584679,0,0,0,0,0,0,0,0,0,43,43,12584679,0,0,0,0,0,0,0,0,0
201902,01,007,3,6,Bibb County                   ,2,2,510258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201902,01,009,3,6,Blount County                 ,2,2,327587,0,0,0,0,0,0,0,0,0,1,1,82789,0,0,0,0,0,0,0,0,0
201902,01,021,3,6,Chilton County                ,6,6,1045176,0,0,0,0,0,0,0,0,0,5,5,925000,0,0,0,0,0,0,0,0,0
201902,01,073,3,6,Jefferson County              ,200,200,53836003,0,0,0,0,0,0,0,0,0,127,127,34674293,0,0,0,0,0,0,0,0,0
201902,01,081,3,6,Lee County                    ,162,162,45347055,2,4,421338,0,0,0,2,65,16995227,35,35,10094772,0,0,0,0,0,0,0,0,0
201902,01,083,3,6,Limestone County              ,35,35,8051428,0,0,0,0,0,0,0,0,0,35,35,8051428,0,0,0,0,0,0,0,0,0
201902,01,089,3,6,Madison County                ,491,491,67785729,0,0,0,0,0,0,0,0,0,491,491,67785729,0,0,0,0,0,0,0,0,0
201902,01,113,3,6,Russell County                ,32,32,4254931,1,2,143676,0,0,0,0,0,0,24,24,3285012,1,2,143676,0,0,0,0,0,0
201902,01,115,3,6,St. Clair County              ,33,33,6403708,0,0,0,0,0,0,0,0,0,29,29,5576495,0,0,0,0,0,0,0,0,0
201902,01,117,3,6,Shelby County                 ,177,177,41707665,0,0,0,0,0,0,0,0,0,65,65,14373071,0,0,0,0,0,0,0,0,0
201902,01,127,3,6,Walker County                 ,1,1,207778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201902,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201902,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201902,02,020,4,9,Anchorage Municipality        ,111,111,34770712,0,0,0,2,7,1216098,2,21,3320006,0,0,0,0,0,0,0,0,0,0,0,0
201902,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201902,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201902,02,070,4,9,Dillingham Census Area        ,0,0,0,1,2,301442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201902,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201902,02,100,4,9,Haines Borough                ,1,1,278425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201902,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201902,02,110,4,9,Juneau City and Borough       ,1,1,178457,1,2,288784,0,0,0,0,0,0,1,1,178457,1,2,288784,0,0,0,0,0,0
201902,02,122,4,9,Kenai Peninsula Borough       ,12,12,2469012,1,2,289200,0,0,0,0,0,0,0,0,0,1,2,289200,0,0,0,0,0,0
