Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200004,01,001,3,6,Autauga County                ,74,74,4218284,0,0,0,0,0,0,1,6,187500,59,59,3255203,0,0,0,0,0,0,0,0,0
200004,01,081,3,6,Lee County                    ,123,123,17883971,47,94,4565568,3,9,856976,3,51,2139000,123,123,17883971,47,94,4565568,3,9,856976,3,51,2139000
200004,01,113,3,6,Russell County                ,33,33,2408236,1,2,90000,0,0,0,0,0,0,33,33,2408236,1,2,90000,0,0,0,0,0,0
200004,01,125,3,6,Tuscaloosa County             ,209,209,22345006,3,6,432000,0,0,0,0,0,0,209,209,22345006,3,6,432000,0,0,0,0,0,0
200004,02,013,4,9,Aleutians East Borough        ,1,1,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200004,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200004,02,020,4,9,Anchorage Borough             ,221,221,37687430,20,40,5043960,0,0,0,3,21,2645061,221,221,37687430,20,40,5043960,0,0,0,3,21,2645061
200004,02,050,4,9,Bethel Census Area            ,11,11,1421430,0,0,0,0,0,0,0,0,0,11,11,1421430,0,0,0,0,0,0,0,0,0
200004,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200004,02,090,4,9,Fairbanks North Star Borough  ,46,46,4865888,0,0,0,1,3,125160,0,0,0,20,20,2348500,0,0,0,0,0,0,0,0,0
200004,02,100,4,9,Haines Borough                ,2,2,149000,0,0,0,0,0,0,0,0,0,2,2,149000,0,0,0,0,0,0,0,0,0
200004,02,110,4,9,Juneau Borough                ,20,20,4437266,2,4,699555,1,4,364312,0,0,0,12,12,3053275,1,2,420706,1,4,364312,0,0,0
200004,02,122,4,9,Kenai Peninsula Borough       ,15,15,2290167,0,0,0,0,0,0,0,0,0,13,13,2075567,0,0,0,0,0,0,0,0,0
200004,02,150,4,9,Kodiak Island Borough         ,10,10,1454439,3,6,548193,0,0,0,0,0,0,10,10,1454439,3,6,548193,0,0,0,0,0,0
200004,02,170,4,9,Matanuska-Susitna Borough     ,6,6,830870,0,0,0,0,0,0,1,26,1778807,6,6,830870,0,0,0,0,0,0,1,26,1778807
200004,02,180,4,9,Nome Census Area              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200004,02,201,4,9,Prince of Wales-Outer Ketchika,1,1,129086,0,0,0,0,0,0,0,0,0,1,1,129086,0,0,0,0,0,0,0,0,0
200004,02,232,4,9,Skagway-Hoonah-Angoon Census A,8,8,648406,0,0,0,0,0,0,0,0,0,8,8,648406,0,0,0,0,0,0,0,0,0
200004,02,261,4,9,Valdez-Cordova Census Area    ,3,3,449540,0,0,0,0,0,0,0,0,0,1,1,210574,0,0,0,0,0,0,0,0,0
200004,02,280,4,9,Wrangell-Petersburg Census Are,4,4,462200,0,0,0,0,0,0,0,0,0,4,4,462200,0,0,0,0,0,0,0,0,0
200004,02,282,4,9,Yakutat Borough               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200004,04,013,4,8,Maricopa County               ,11084,11084,1470165699,25,50,6572597,67,254,30978198,339,4077,213577795,10645,10645,1417672233,25,50,6572597,67,254,30978198,335,4046,211997114
