Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201209,01,001,3,6,Autauga County                ,96,96,25048599,0,0,0,0,0,0,0,0,0,96,96,25048599,0,0,0,0,0,0,0,0,0
201209,01,007,3,6,Bibb County                   ,12,12,2009183,0,0,0,0,0,0,0,0,0,1,1,145000,0,0,0,0,0,0,0,0,0
201209,01,009,3,6,Blount County                 ,5,5,783969,0,0,0,0,0,0,0,0,0,5,5,783969,0,0,0,0,0,0,0,0,0
201209,01,021,3,6,Chilton County                ,14,14,1863344,0,0,0,0,0,0,0,0,0,12,12,1597650,0,0,0,0,0,0,0,0,0
201209,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201209,01,073,3,6,Jefferson County              ,900,900,213955763,0,0,0,0,0,0,36,926,67365126,873,873,210274898,0,0,0,0,0,0,32,901,66115126
201209,01,081,3,6,Lee County                    ,510,510,130003667,0,0,0,0,0,0,7,56,5723194,510,510,130003667,0,0,0,0,0,0,7,56,5723194
201209,01,115,3,6,St. Clair County              ,89,89,10689664,0,0,0,0,0,0,0,0,0,52,52,5948410,0,0,0,0,0,0,0,0,0
201209,01,117,3,6,Shelby County                 ,402,402,73913650,0,0,0,0,0,0,0,0,0,180,180,31060178,0,0,0,0,0,0,0,0,0
201209,01,127,3,6,Walker County                 ,7,7,1128701,0,0,0,0,0,0,0,0,0,6,6,925000,0,0,0,0,0,0,0,0,0
201209,02,000,4,9,Alaska Balance of State       ,48,48,11755167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201209,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201209,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201209,02,020,4,9,Anchorage Borough             ,428,428,121591648,4,8,1663199,3,11,2113776,1,6,1257811,428,428,121591648,4,8,1663199,3,11,2113776,1,6,1257811
201209,02,050,4,9,Bethel Census Area            ,2,2,600000,0,0,0,0,0,0,0,0,0,2,2,600000,0,0,0,0,0,0,0,0,0
201209,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201209,02,090,4,9,Fairbanks North Star Borough  ,35,35,6379582,0,0,0,0,0,0,0,0,0,1,1,130000,0,0,0,0,0,0,0,0,0
201209,02,100,4,9,Haines Borough                ,1,1,227053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201209,02,110,4,9,Juneau Borough                ,16,16,4165462,0,0,0,1,3,224041,1,24,3030720,16,16,4165462,0,0,0,1,3,224041,1,24,3030720
201209,02,122,4,9,Kenai Peninsula Borough       ,45,45,10055990,1,2,300000,1,3,400000,0,0,0,43,43,9494701,1,2,300000,1,3,400000,0,0,0
201209,02,130,4,9,Ketchikan Gateway Borough     ,18,18,4037211,2,4,521215,0,0,0,0,0,0,18,18,4037211,2,4,521215,0,0,0,0,0,0
201209,02,150,4,9,Kodiak Island Borough         ,8,8,2171237,2,4,328870,1,3,240839,0,0,0,8,8,2171237,2,4,328870,1,3,240839,0,0,0
