Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201706,01,001,3,6,Autauga County                ,103,103,26457480,0,0,0,0,0,0,0,0,0,103,103,26457480,0,0,0,0,0,0,0,0,0
201706,01,007,3,6,Bibb County                   ,5,5,1373320,0,0,0,0,0,0,0,0,0,2,2,490000,0,0,0,0,0,0,0,0,0
201706,01,009,3,6,Blount County                 ,5,5,1776000,0,0,0,0,0,0,0,0,0,5,5,1776000,0,0,0,0,0,0,0,0,0
201706,01,021,3,6,Chilton County                ,23,23,2798500,0,0,0,0,0,0,0,0,0,23,23,2798500,0,0,0,0,0,0,0,0,0
201706,01,073,3,6,Jefferson County              ,718,718,192028392,1,2,107950,1,4,875000,7,102,12907472,676,676,185086032,1,2,107950,1,4,875000,1,6,650080
201706,01,081,3,6,Lee County                    ,545,545,152571853,11,22,2276025,0,0,0,1,14,1892000,492,492,137247203,10,20,2131775,0,0,0,1,14,1892000
201706,01,083,3,6,Limestone County              ,63,63,12809097,0,0,0,0,0,0,0,0,0,61,61,12603001,0,0,0,0,0,0,0,0,0
201706,01,089,3,6,Madison County                ,1280,1280,190773356,0,0,0,0,0,0,2,72,2029651,1278,1278,190520726,0,0,0,0,0,0,2,72,2029651
201706,01,113,3,6,Russell County                ,64,64,10214375,0,0,0,0,0,0,0,0,0,64,64,10214375,0,0,0,0,0,0,0,0,0
201706,01,115,3,6,St. Clair County              ,91,91,17499197,0,0,0,0,0,0,0,0,0,79,79,15033787,0,0,0,0,0,0,0,0,0
201706,01,117,3,6,Shelby County                 ,568,568,128866735,0,0,0,0,0,0,6,43,2777750,266,266,54843539,0,0,0,0,0,0,0,0,0
201706,01,127,3,6,Walker County                 ,6,6,965000,0,0,0,0,0,0,0,0,0,6,6,965000,0,0,0,0,0,0,0,0,0
201706,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201706,02,016,4,9,Aleutians West Census Area    ,3,3,294354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201706,02,020,4,9,Anchorage Municipality        ,400,400,125267516,0,0,0,7,22,3825394,9,79,12489549,0,0,0,0,0,0,0,0,0,0,0,0
201706,02,050,4,9,Bethel Census Area            ,8,8,2472104,0,0,0,0,0,0,0,0,0,8,8,2472104,0,0,0,0,0,0,0,0,0
201706,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201706,02,070,4,9,Dillingham Census Area        ,1,1,291052,0,0,0,0,0,0,0,0,0,1,1,291052,0,0,0,0,0,0,0,0,0
201706,02,090,4,9,Fairbanks North Star Borough  ,7,7,1850000,0,0,0,0,0,0,0,0,0,7,7,1850000,0,0,0,0,0,0,0,0,0
201706,02,100,4,9,Haines Borough                ,4,4,1112974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201706,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201706,02,110,4,9,Juneau City and Borough       ,28,28,5912156,1,2,391732,0,0,0,0,0,0,28,28,5912156,1,2,391732,0,0,0,0,0,0
201706,02,122,4,9,Kenai Peninsula Borough       ,51,51,8690979,2,4,560465,1,3,300000,0,0,0,36,36,5433178,1,2,310000,1,3,300000,0,0,0
