Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200706,01,001,3,6,Autauga County                ,176,176,28547389,0,0,0,0,0,0,0,0,0,176,176,28547389,0,0,0,0,0,0,0,0,0
200706,01,007,3,6,Bibb County                   ,5,5,972048,0,0,0,0,0,0,0,0,0,5,5,972048,0,0,0,0,0,0,0,0,0
200706,01,009,3,6,Blount County                 ,26,26,3616918,0,0,0,1,4,151000,0,0,0,26,26,3616918,0,0,0,1,4,151000,0,0,0
200706,01,021,3,6,Chilton County                ,51,51,6753378,0,0,0,0,0,0,0,0,0,48,48,6314000,0,0,0,0,0,0,0,0,0
200706,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200706,01,073,3,6,Jefferson County              ,1506,1506,290310094,0,0,0,1,4,662816,1,48,5322456,1453,1453,281133957,0,0,0,1,4,662816,1,48,5322456
200706,01,081,3,6,Lee County                    ,633,633,109760691,10,20,1914169,0,0,0,6,170,21438077,576,576,99759304,10,20,1914169,0,0,0,5,153,20003513
200706,01,115,3,6,St. Clair County              ,213,213,30333069,0,0,0,0,0,0,0,0,0,210,210,29727265,0,0,0,0,0,0,0,0,0
200706,01,117,3,6,Shelby County                 ,1099,1099,187789754,0,0,0,0,0,0,0,0,0,713,713,121560890,0,0,0,0,0,0,0,0,0
200706,01,127,3,6,Walker County                 ,33,33,5547000,0,0,0,0,0,0,0,0,0,33,33,5547000,0,0,0,0,0,0,0,0,0
200706,02,000,4,9,Alaska Balance of State       ,103,103,23899768,6,12,1702552,1,4,594078,0,0,0,22,22,8192642,6,12,1702552,1,4,594078,0,0,0
200706,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,3,12,2423244,0,0,0,0,0,0,0,0,0,3,12,2423244,0,0,0
200706,02,016,4,9,Aleutians West Census Area    ,4,4,392756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200706,02,020,4,9,Anchorage Borough             ,157,157,55793273,49,98,16233414,30,119,17576406,7,97,7492437,157,157,55793273,49,98,16233414,30,119,17576406,7,97,7492437
200706,02,050,4,9,Bethel Census Area            ,19,19,2723797,1,2,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200706,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200706,02,090,4,9,Fairbanks North Star Borough  ,46,46,5501575,1,2,350000,3,10,930000,0,0,0,37,37,4471424,1,2,350000,3,10,930000,0,0,0
200706,02,100,4,9,Haines Borough                ,10,10,1505000,1,2,150000,0,0,0,0,0,0,10,10,1505000,1,2,150000,0,0,0,0,0,0
200706,02,110,4,9,Juneau Borough                ,29,29,7344738,2,4,634353,0,0,0,0,0,0,29,29,7344738,2,4,634353,0,0,0,0,0,0
200706,02,122,4,9,Kenai Peninsula Borough       ,60,60,11692733,3,6,189500,0,0,0,2,18,1464171,58,58,11307891,2,4,131000,0,0,0,2,18,1464171
200706,02,130,4,9,Ketchikan Gateway Borough     ,14,14,2722236,0,0,0,0,0,0,1,6,659262,14,14,2722236,0,0,0,0,0,0,1,6,659262
200706,02,150,4,9,Kodiak Island Borough         ,12,12,2795933,0,0,0,0,0,0,0,0,0,12,12,2795933,0,0,0,0,0,0,0,0,0
