Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200606,01,001,3,6,Autauga County                ,208,208,34382642,0,0,0,0,0,0,0,0,0,182,182,30912813,0,0,0,0,0,0,0,0,0
200606,01,007,3,6,Bibb County                   ,1,1,75000,0,0,0,0,0,0,0,0,0,1,1,75000,0,0,0,0,0,0,0,0,0
200606,01,009,3,6,Blount County                 ,19,19,4431000,6,12,470340,0,0,0,0,0,0,18,18,4193500,6,12,470340,0,0,0,0,0,0
200606,01,021,3,6,Chilton County                ,54,54,7724313,0,0,0,0,0,0,1,6,367347,49,49,6861450,0,0,0,0,0,0,0,0,0
200606,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,2,10,500000,0,0,0,0,0,0,0,0,0,0,0,0
200606,01,073,3,6,Jefferson County              ,1891,1891,337799616,2,4,173344,3,9,540000,22,482,36476886,1789,1789,323485474,2,4,173344,3,9,540000,17,394,30375658
200606,01,081,3,6,Lee County                    ,822,822,128753998,7,14,886678,0,0,0,19,371,22634057,822,822,128753998,7,14,886678,0,0,0,19,371,22634057
200606,01,115,3,6,St. Clair County              ,308,308,37965759,5,10,400000,1,4,356610,0,0,0,308,308,37965759,5,10,400000,1,4,356610,0,0,0
200606,01,117,3,6,Shelby County                 ,1290,1290,206128195,0,0,0,0,0,0,2,29,1864249,723,723,111523579,0,0,0,0,0,0,1,24,1560000
200606,01,127,3,6,Walker County                 ,29,29,4618000,0,0,0,0,0,0,0,0,0,29,29,4618000,0,0,0,0,0,0,0,0,0
200606,02,000,4,9,Alaska Balance of State       ,104,104,19974009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200606,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200606,02,016,4,9,Aleutians West Census Area    ,4,4,391202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200606,02,020,4,9,Anchorage Borough             ,377,377,104367416,35,70,8954644,5,16,1541759,20,431,53687710,377,377,104367416,35,70,8954644,5,16,1541759,20,431,53687710
200606,02,050,4,9,Bethel Census Area            ,19,19,2741508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200606,02,060,4,9,Bristol Bay Borough           ,8,8,1142352,1,2,450000,0,0,0,0,0,0,8,8,1142352,1,2,450000,0,0,0,0,0,0
200606,02,090,4,9,Fairbanks North Star Borough  ,184,184,37553467,7,14,1415000,1,4,250000,0,0,0,170,170,35933250,7,14,1415000,1,4,250000,0,0,0
200606,02,100,4,9,Haines Borough                ,10,10,1650000,0,0,0,0,0,0,0,0,0,10,10,1650000,0,0,0,0,0,0,0,0,0
200606,02,110,4,9,Juneau Borough                ,38,38,10820182,5,10,1522923,0,0,0,2,21,2892760,38,38,10820182,5,10,1522923,0,0,0,2,21,2892760
200606,02,122,4,9,Kenai Peninsula Borough       ,62,62,11743787,2,4,117000,0,0,0,0,0,0,49,49,9343906,0,0,0,0,0,0,0,0,0
200606,02,130,4,9,Ketchikan Gateway Borough     ,23,23,4222102,0,0,0,0,0,0,0,0,0,23,23,4222102,0,0,0,0,0,0,0,0,0
200606,02,150,4,9,Kodiak Island Borough         ,19,19,3523930,2,4,458146,1,3,233791,0,0,0,16,16,2898497,2,4,458146,0,0,0,0,0,0
