Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200204,01,001,3,6,Autauga County                ,101,101,5103925,0,0,0,0,0,0,0,0,0,101,101,5103925,0,0,0,0,0,0,0,0,0
200204,01,081,3,6,Lee County                    ,143,143,19735588,23,46,2501849,4,15,1153488,26,360,16718494,143,143,19735588,23,46,2501849,4,15,1153488,26,360,16718494
200204,01,113,3,6,Russell County                ,61,61,5472917,9,18,711680,0,0,0,0,0,0,61,61,5472917,9,18,711680,0,0,0,0,0,0
200204,02,000,4,9,Alaska Balance of State       ,44,44,8518991,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
200204,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200204,02,016,4,9,Aleutians West Census Area    ,2,2,193790,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,0,0,0,0,0,0,0
200204,02,020,4,9,Anchorage Borough             ,324,324,59120037,71,142,19104989,0,0,0,10,108,11224880,324,324,59120037,71,142,19104989,0,0,0,10,108,11224880
200204,02,050,4,9,Bethel Census Area            ,11,11,1650000,0,0,0,0,0,0,0,0,0,11,11,1650000,0,0,0,0,0,0,0,0,0
200204,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200204,02,090,4,9,Fairbanks North Star Borough  ,41,41,4694714,1,2,50000,0,0,0,0,0,0,25,25,3065000,1,2,50000,0,0,0,0,0,0
200204,02,100,4,9,Haines Borough                ,1,1,200000,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0
200204,02,110,4,9,Juneau Borough                ,12,12,3035895,0,0,0,0,0,0,0,0,0,12,12,3035895,0,0,0,0,0,0,0,0,0
200204,02,122,4,9,Kenai Peninsula Borough       ,18,18,2258560,0,0,0,0,0,0,0,0,0,7,7,928248,0,0,0,0,0,0,0,0,0
200204,02,130,4,9,Ketchikan Gateway Borough     ,7,7,1033135,0,0,0,0,0,0,0,0,0,5,5,760823,0,0,0,0,0,0,0,0,0
200204,02,150,4,9,Kodiak Island Borough         ,12,12,2144603,0,0,0,0,0,0,0,0,0,12,12,2144603,0,0,0,0,0,0,0,0,0
200204,02,170,4,9,Matanuska-Susitna Borough     ,24,24,3639492,2,4,384302,10,40,3138000,4,32,2239808,24,24,3639492,2,4,384302,10,40,3138000,4,32,2239808
200204,02,180,4,9,Nome Census Area              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200204,02,185,4,9,North Slope Borough           ,5,5,663815,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
200204,02,201,4,9,Prince of Wales-Outer Ketchika,1,1,129086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200204,02,220,4,9,Sitka Borough                 ,9,9,1099890,2,4,291254,0,0,0,0,0,0,4,4,644000,0,0,0,0,0,0,0,0,0
200204,02,232,4,9,Skagway-Hoonah-Angoon Census A,5,5,891428,0,0,0,0,0,0,0,0,0,4,4,752694,0,0,0,0,0,0,0,0,0
200204,02,261,4,9,Valdez-Cordova Census Area    ,3,3,344990,0,0,0,0,0,0,0,0,0,2,2,168000,0,0,0,0,0,0,0,0,0
