Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200103,01,001,3,6,Autauga County                ,32,32,2108875,0,0,0,0,0,0,15,224,11208275,32,32,2108875,0,0,0,0,0,0,15,224,11208275
200103,01,081,3,6,Lee County                    ,88,88,11504119,7,14,803932,0,0,0,8,182,9538404,88,88,11504119,7,14,803932,0,0,0,8,182,9538404
200103,01,113,3,6,Russell County                ,54,54,3892998,11,22,1803205,0,0,0,1,8,360800,54,54,3892998,11,22,1803205,0,0,0,1,8,360800
200103,02,000,4,9,Alaska Balance of State       ,14,14,2439252,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
200103,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200103,02,016,4,9,Aleutians West Census Area    ,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
200103,02,020,4,9,Anchorage Borough             ,218,218,44406979,63,126,14581977,5,20,2457009,0,0,0,218,218,44406979,63,126,14581977,5,20,2457009,0,0,0
200103,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200103,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200103,02,090,4,9,Fairbanks North Star Borough  ,17,17,1590876,1,2,107200,0,0,0,0,0,0,2,2,195000,0,0,0,0,0,0,0,0,0
200103,02,100,4,9,Haines Borough                ,2,2,250000,0,0,0,0,0,0,0,0,0,2,2,250000,0,0,0,0,0,0,0,0,0
200103,02,110,4,9,Juneau Borough                ,11,11,2911757,1,2,210167,1,4,497063,0,0,0,11,11,2911757,1,2,210167,1,4,497063,0,0,0
200103,02,122,4,9,Kenai Peninsula Borough       ,7,7,944900,0,0,0,0,0,0,0,0,0,4,4,623000,0,0,0,0,0,0,0,0,0
200103,02,130,4,9,Ketchikan Gateway Borough     ,9,9,1103501,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
200103,02,150,4,9,Kodiak Island Borough         ,6,6,756732,0,0,0,0,0,0,0,0,0,2,2,232936,0,0,0,0,0,0,0,0,0
200103,02,170,4,9,Matanuska-Susitna Borough     ,10,10,1525716,3,6,737506,0,0,0,0,0,0,10,10,1525716,3,6,737506,0,0,0,0,0,0
200103,02,180,4,9,Nome Census Area              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200103,02,185,4,9,North Slope Borough           ,9,9,994869,2,4,325232,0,0,0,0,0,0,1,1,138734,0,0,0,0,0,0,0,0,0
200103,02,201,4,9,Prince of Wales-Outer Ketchika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200103,02,220,4,9,Sitka Borough                 ,7,7,638246,2,4,291254,0,0,0,0,0,0, , , , , , , , , , , , 
200103,02,232,4,9,Skagway-Hoonah-Angoon Census A,3,3,317467,0,0,0,0,0,0,0,0,0,3,3,317467,0,0,0,0,0,0,0,0,0
200103,02,261,4,9,Valdez-Cordova Census Area    ,3,3,358449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200103,02,280,4,9,Wrangell-Petersburg Census Are,2,2,338975,0,0,0,0,0,0,0,0,0,2,2,338975,0,0,0,0,0,0,0,0,0
