Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201007,01,001,3,6,Autauga County                ,88,88,13344339,0,0,0,14,56,5361345,0,0,0,88,88,13344339,0,0,0,14,56,5361345,0,0,0
201007,01,007,3,6,Bibb County                   ,3,3,533400,0,0,0,0,0,0,0,0,0,3,3,533400,0,0,0,0,0,0,0,0,0
201007,01,009,3,6,Blount County                 ,6,6,826540,4,8,320000,0,0,0,0,0,0,6,6,826540,4,8,320000,0,0,0,0,0,0
201007,01,021,3,6,Chilton County                ,13,13,1841583,0,0,0,0,0,0,0,0,0,12,12,1702000,0,0,0,0,0,0,0,0,0
201007,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201007,01,073,3,6,Jefferson County              ,617,617,113137445,0,0,0,6,19,2051549,0,0,0,536,536,97521766,0,0,0,2,7,789929,0,0,0
201007,01,081,3,6,Lee County                    ,458,458,86246404,0,0,0,0,0,0,15,180,16088603,458,458,86246404,0,0,0,0,0,0,15,180,16088603
201007,01,115,3,6,St. Clair County              ,64,64,7761005,0,0,0,0,0,0,0,0,0,63,63,7558949,0,0,0,0,0,0,0,0,0
201007,01,117,3,6,Shelby County                 ,358,358,60214611,1,2,99000,0,0,0,0,0,0,206,206,31031745,0,0,0,0,0,0,0,0,0
201007,01,127,3,6,Walker County                 ,7,7,1286832,0,0,0,0,0,0,0,0,0,5,5,880000,0,0,0,0,0,0,0,0,0
201007,02,000,4,9,Alaska Balance of State       ,39,39,9176872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201007,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201007,02,016,4,9,Aleutians West Census Area    ,1,1,98110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201007,02,020,4,9,Anchorage Borough             ,236,236,62691395,3,6,1180593,3,12,2263041,4,41,5283067,212,212,55230621,0,0,0,2,8,1681081,3,20,3116544
201007,02,050,4,9,Bethel Census Area            ,3,3,775000,0,0,0,0,0,0,0,0,0,3,3,775000,0,0,0,0,0,0,0,0,0
201007,02,060,4,9,Bristol Bay Borough           ,1,1,250000,0,0,0,0,0,0,0,0,0,1,1,250000,0,0,0,0,0,0,0,0,0
201007,02,090,4,9,Fairbanks North Star Borough  ,28,28,5477029,0,0,0,0,0,0,0,0,0,5,5,1238000,0,0,0,0,0,0,0,0,0
201007,02,100,4,9,Haines Borough                ,6,6,1165160,0,0,0,0,0,0,0,0,0,3,3,627243,0,0,0,0,0,0,0,0,0
201007,02,110,4,9,Juneau Borough                ,29,29,7452798,0,0,0,0,0,0,0,0,0,29,29,7452798,0,0,0,0,0,0,0,0,0
201007,02,122,4,9,Kenai Peninsula Borough       ,47,47,9314764,1,2,90000,1,4,1000000,3,17,1849309,44,44,8464765,1,2,90000,1,4,1000000,3,17,1849309
201007,02,130,4,9,Ketchikan Gateway Borough     ,8,8,1779438,0,0,0,0,0,0,0,0,0,4,4,876218,0,0,0,0,0,0,0,0,0
201007,02,150,4,9,Kodiak Island Borough         ,13,13,3151180,0,0,0,0,0,0,0,0,0,13,13,3151180,0,0,0,0,0,0,0,0,0
