Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200508,01,001,3,6,Autauga County                ,202,202,20346967,0,0,0,0,0,0,0,0,0,202,202,20346967,0,0,0,0,0,0,0,0,0
200508,01,007,3,6,Bibb County                   ,4,4,474550,0,0,0,0,0,0,0,0,0,3,3,404550,0,0,0,0,0,0,0,0,0
200508,01,009,3,6,Blount County                 ,42,42,5923135,1,2,36000,0,0,0,0,0,0,42,42,5923135,1,2,36000,0,0,0,0,0,0
200508,01,021,3,6,Chilton County                ,48,48,6423390,0,0,0,14,56,1892000,2,11,673469,46,46,5909402,0,0,0,14,56,1892000,0,0,0
200508,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,3,44,2200000,0,0,0,0,0,0,0,0,0,3,44,2200000
200508,01,073,3,6,Jefferson County              ,2255,2255,412384249,0,0,0,0,0,0,22,460,35829125,2131,2131,385628511,0,0,0,0,0,0,22,460,35829125
200508,01,081,3,6,Lee County                    ,812,812,120018252,24,48,3189538,1,4,262891,21,203,14056627,749,749,111773829,21,42,2792366,0,0,0,18,167,12136473
200508,01,115,3,6,St. Clair County              ,407,407,42954061,0,0,0,1,4,220000,20,160,7950000,377,377,38454061,0,0,0,1,4,220000,20,160,7950000
200508,01,117,3,6,Shelby County                 ,1786,1786,279221691,0,0,0,0,0,0,1,5,304249,928,928,149402290,0,0,0,0,0,0,0,0,0
200508,01,127,3,6,Walker County                 ,43,43,5904340,0,0,0,2,7,1000000,0,0,0,40,40,5494465,0,0,0,2,7,1000000,0,0,0
200508,02,000,4,9,Alaska Balance of State       ,159,159,30594939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200508,02,013,4,9,Aleutians East Borough        ,1,1,16250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200508,02,016,4,9,Aleutians West Census Area    ,6,6,593796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200508,02,020,4,9,Anchorage Borough             ,414,414,111668177,135,270,44296827,23,84,10969923,22,324,39409435,337,337,92323003,115,230,38015900,21,78,10258657,18,278,33782340
200508,02,050,4,9,Bethel Census Area            ,40,40,5650000,4,8,600000,2,6,600000,0,0,0,40,40,5650000,4,8,600000,2,6,600000,0,0,0
200508,02,060,4,9,Bristol Bay Borough           ,2,2,280000,0,0,0,0,0,0,0,0,0,2,2,280000,0,0,0,0,0,0,0,0,0
200508,02,090,4,9,Fairbanks North Star Borough  ,123,123,20086036,11,22,2280790,2,8,604706,0,0,0,114,114,19259620,11,22,2280790,2,8,604706,0,0,0
200508,02,100,4,9,Haines Borough                ,3,3,355000,0,0,0,0,0,0,0,0,0,3,3,355000,0,0,0,0,0,0,0,0,0
200508,02,110,4,9,Juneau Borough                ,57,57,14573605,9,18,3196513,1,4,442510,2,10,1654576,57,57,14573605,9,18,3196513,1,4,442510,2,10,1654576
200508,02,122,4,9,Kenai Peninsula Borough       ,87,87,15984692,1,2,62000,1,3,300000,1,5,550000,79,79,14588201,1,2,62000,1,3,300000,1,5,550000
200508,02,130,4,9,Ketchikan Gateway Borough     ,13,13,2183597,3,6,588969,1,3,212488,0,0,0,8,8,1369484,3,6,588969,1,3,212488,0,0,0
200508,02,150,4,9,Kodiak Island Borough         ,33,33,6505426,1,2,336954,5,20,1558608,0,0,0,17,17,3524580,1,2,336954,5,20,1558608,0,0,0
