Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200904,01,001,3,6,Autauga County                ,33,33,5234476,0,0,0,0,0,0,0,0,0,33,33,5234476,0,0,0,0,0,0,0,0,0
200904,01,007,3,6,Bibb County                   ,2,2,300363,0,0,0,0,0,0,0,0,0,2,2,300363,0,0,0,0,0,0,0,0,0
200904,01,009,3,6,Blount County                 ,5,5,1122320,0,0,0,0,0,0,0,0,0,5,5,1122320,0,0,0,0,0,0,0,0,0
200904,01,021,3,6,Chilton County                ,9,9,1154200,0,0,0,0,0,0,0,0,0,8,8,1070000,0,0,0,0,0,0,0,0,0
200904,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200904,01,073,3,6,Jefferson County              ,360,360,57240915,0,0,0,0,0,0,4,32,2456215,319,319,50064306,0,0,0,0,0,0,0,0,0
200904,01,081,3,6,Lee County                    ,200,200,37113563,0,0,0,2,8,1036826,2,22,2142926,168,168,29652910,0,0,0,2,8,1036826,0,0,0
200904,01,115,3,6,St. Clair County              ,37,37,4579530,0,0,0,0,0,0,0,0,0,37,37,4579530,0,0,0,0,0,0,0,0,0
200904,01,117,3,6,Shelby County                 ,149,149,26247519,2,4,198000,0,0,0,0,0,0,70,70,12268873,2,4,198000,0,0,0,0,0,0
200904,01,127,3,6,Walker County                 ,5,5,876833,0,0,0,0,0,0,0,0,0,4,4,670000,0,0,0,0,0,0,0,0,0
200904,02,000,4,9,Alaska Balance of State       ,12,12,2842009,0,0,0,0,0,0,0,0,0,5,5,1622382,0,0,0,0,0,0,0,0,0
200904,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200904,02,016,4,9,Aleutians West Census Area    ,1,1,98141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200904,02,020,4,9,Anchorage Borough             ,63,63,19248574,0,0,0,1,4,642260,1,18,3745008,63,63,19248574,0,0,0,1,4,642260,1,18,3745008
200904,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200904,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200904,02,090,4,9,Fairbanks North Star Borough  ,7,7,1219065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200904,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200904,02,110,4,9,Juneau Borough                ,4,4,996266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200904,02,122,4,9,Kenai Peninsula Borough       ,6,6,1040000,0,0,0,0,0,0,0,0,0,6,6,1040000,0,0,0,0,0,0,0,0,0
200904,02,130,4,9,Ketchikan Gateway Borough     ,9,9,1996796,0,0,0,0,0,0,0,0,0,9,9,1996796,0,0,0,0,0,0,0,0,0
200904,02,150,4,9,Kodiak Island Borough         ,4,4,791901,0,0,0,0,0,0,0,0,0,4,4,791901,0,0,0,0,0,0,0,0,0
200904,02,170,4,9,Matanuska-Susitna Borough     ,8,8,1661833,1,2,344420,0,0,0,0,0,0,8,8,1661833,1,2,344420,0,0,0,0,0,0
