Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201604,01,001,3,6,Autauga County                ,77,77,20901510,0,0,0,0,0,0,0,0,0,77,77,20901510,0,0,0,0,0,0,0,0,0
201604,01,007,3,6,Bibb County                   ,8,8,1477351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201604,01,009,3,6,Blount County                 ,5,5,821349,0,0,0,0,0,0,1,5,478913,4,4,642920,0,0,0,0,0,0,0,0,0
201604,01,021,3,6,Chilton County                ,9,9,1348500,0,0,0,0,0,0,0,0,0,9,9,1348500,0,0,0,0,0,0,0,0,0
201604,01,073,3,6,Jefferson County              ,527,527,128870990,0,0,0,0,0,0,7,266,29060846,451,451,112884494,0,0,0,0,0,0,5,216,24581715
201604,01,083,3,6,Limestone County              ,39,39,7730066,0,0,0,0,0,0,0,0,0,39,39,7730066,0,0,0,0,0,0,0,0,0
201604,01,089,3,6,Madison County                ,864,864,127415711,0,0,0,0,0,0,15,264,10053916,862,862,127163081,0,0,0,0,0,0,15,264,10053916
201604,01,113,3,6,Russell County                ,32,32,5158174,1,2,80304,0,0,0,0,0,0,32,32,5158174,1,2,80304,0,0,0,0,0,0
201604,01,115,3,6,St. Clair County              ,44,44,6525463,0,0,0,0,0,0,0,0,0,40,40,5692322,0,0,0,0,0,0,0,0,0
201604,01,117,3,6,Shelby County                 ,321,321,69889124,0,0,0,0,0,0,1,10,170000,156,156,30069742,0,0,0,0,0,0,0,0,0
201604,01,127,3,6,Walker County                 ,3,3,680000,0,0,0,0,0,0,0,0,0,3,3,680000,0,0,0,0,0,0,0,0,0
201604,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201604,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201604,02,020,4,9,Anchorage Municipality        ,233,233,73186668,0,0,0,4,12,2067274,5,56,8853351,0,0,0,0,0,0,0,0,0,0,0,0
201604,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201604,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201604,02,070,4,9,Dillingham Census Area        ,1,1,291587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201604,02,090,4,9,Fairbanks North Star Borough  ,3,3,750000,0,0,0,0,0,0,0,0,0,3,3,750000,0,0,0,0,0,0,0,0,0
201604,02,100,4,9,Haines Borough                ,1,1,287713,0,0,0,0,0,0,0,0,0,1,1,287713,0,0,0,0,0,0,0,0,0
201604,02,105,4,9,Hoonah-Angoon Census Area     ,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
201604,02,110,4,9,Juneau City and Borough       ,16,16,4201063,0,0,0,2,6,77275,0,0,0,16,16,4201063,0,0,0,2,6,77275,0,0,0
201604,02,122,4,9,Kenai Peninsula Borough       ,23,23,5460389,4,8,1037792,0,0,0,0,0,0,10,10,2638000,3,6,700000,0,0,0,0,0,0
201604,02,130,4,9,Ketchikan Gateway Borough     ,11,11,3203582,1,2,282160,0,0,0,0,0,0,11,11,3203582,1,2,282160,0,0,0,0,0,0
