Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201810,01,001,3,6,Autauga County                ,166,166,50569419,0,0,0,0,0,0,0,0,0,166,166,50569419,0,0,0,0,0,0,0,0,0
201810,01,007,3,6,Bibb County                   ,8,8,2001962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201810,01,009,3,6,Blount County                 ,7,7,1280871,0,0,0,1,4,223080,0,0,0,7,7,1280871,0,0,0,1,4,223080,0,0,0
201810,01,021,3,6,Chilton County                ,33,33,3756676,0,0,0,0,0,0,5,56,5676300,33,33,3756676,0,0,0,0,0,0,5,56,5676300
201810,01,073,3,6,Jefferson County              ,1226,1226,367544055,12,24,2967950,0,0,0,17,222,20418529,1012,1012,313784048,11,22,2860000,0,0,0,17,222,20418529
201810,01,081,3,6,Lee County                    ,866,866,242179180,1,2,210669,4,13,1759832,9,79,13759381,799,799,223786630,0,0,0,4,13,1759832,8,47,5392500
201810,01,083,3,6,Limestone County              ,146,146,29405341,0,0,0,0,0,0,0,0,0,146,146,29405341,0,0,0,0,0,0,0,0,0
201810,01,089,3,6,Madison County                ,2331,2331,358211773,0,0,0,9,36,14207782,6,35,2510594,2327,2327,357320821,0,0,0,9,36,14207782,6,35,2510594
201810,01,113,3,6,Russell County                ,145,145,20973748,0,0,0,0,0,0,7,82,12571056,145,145,20973748,0,0,0,0,0,0,7,82,12571056
201810,01,115,3,6,St. Clair County              ,158,158,31220927,0,0,0,0,0,0,0,0,0,150,150,29454015,0,0,0,0,0,0,0,0,0
201810,01,117,3,6,Shelby County                 ,844,844,198964888,0,0,0,0,0,0,3,17,2608650,374,374,80874707,0,0,0,0,0,0,0,0,0
201810,01,127,3,6,Walker County                 ,5,5,1038890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201810,02,013,4,9,Aleutians East Borough        ,0,0,0,1,2,200000,0,0,0,0,0,0,0,0,0,1,2,200000,0,0,0,0,0,0
201810,02,016,4,9,Aleutians West Census Area    ,6,6,588708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201810,02,020,4,9,Anchorage Municipality        ,751,751,235267875,0,0,0,11,40,6947648,15,134,21184805,0,0,0,0,0,0,0,0,0,0,0,0
201810,02,050,4,9,Bethel Census Area            ,1,1,269793,0,0,0,0,0,0,0,0,0,1,1,269793,0,0,0,0,0,0,0,0,0
201810,02,060,4,9,Bristol Bay Borough           ,2,2,310000,0,0,0,0,0,0,0,0,0,2,2,310000,0,0,0,0,0,0,0,0,0
201810,02,070,4,9,Dillingham Census Area        ,1,1,291052,1,2,301442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201810,02,090,4,9,Fairbanks North Star Borough  ,13,13,3483405,0,0,0,0,0,0,0,0,0,13,13,3483405,0,0,0,0,0,0,0,0,0
201810,02,100,4,9,Haines Borough                ,11,11,3063110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201810,02,105,4,9,Hoonah-Angoon Census Area     ,1,1,285178,0,0,0,0,0,0,0,0,0,1,1,285178,0,0,0,0,0,0,0,0,0
201810,02,110,4,9,Juneau City and Borough       ,44,44,8900169,1,2,216321,1,3,577672,2,12,2243015,44,44,8900169,1,2,216321,1,3,577672,2,12,2243015
