Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200404,01,001,3,6,Autauga County                ,126,126,6719000,0,0,0,0,0,0,0,0,0,126,126,6719000,0,0,0,0,0,0,0,0,0
200404,01,007,3,6,Bibb County                   ,2,2,140000,0,0,0,0,0,0,0,0,0,2,2,140000,0,0,0,0,0,0,0,0,0
200404,01,009,3,6,Blount County                 ,11,11,1148996,0,0,0,0,0,0,5,40,2205105,11,11,1148996,0,0,0,0,0,0,5,40,2205105
200404,01,021,3,6,Chilton County                ,19,19,2380300,0,0,0,0,0,0,1,5,150000,19,19,2380300,0,0,0,0,0,0,1,5,150000
200404,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200404,01,073,3,6,Jefferson County              ,1266,1266,214676766,0,0,0,0,0,0,35,581,40097673,1266,1266,214676766,0,0,0,0,0,0,35,581,40097673
200404,01,081,3,6,Lee County                    ,406,406,49251642,28,56,3905875,1,4,427623,8,109,6650000,406,406,49251642,28,56,3905875,1,4,427623,8,109,6650000
200404,01,087,3,6,Macon County                  ,8,8,492111,0,0,0,0,0,0,0,0,0,8,8,492111,0,0,0,0,0,0,0,0,0
200404,01,113,3,6,Russell County                ,96,96,8453433,7,14,570000,0,0,0,7,56,2739338,96,96,8453433,7,14,570000,0,0,0,7,56,2739338
200404,01,115,3,6,St. Clair County              ,150,150,15377354,28,56,3191999,0,0,0,0,0,0,150,150,15377354,28,56,3191999,0,0,0,0,0,0
200404,01,117,3,6,Shelby County                 ,807,807,116846803,0,0,0,0,0,0,0,0,0,807,807,116846803,0,0,0,0,0,0,0,0,0
200404,01,123,3,6,Tallapoosa County             ,11,11,771356,0,0,0,0,0,0,0,0,0,11,11,771356,0,0,0,0,0,0,0,0,0
200404,01,125,3,6,Tuscaloosa County             ,437,437,54781179,0,0,0,0,0,0,2,26,1410840,437,437,54781179,0,0,0,0,0,0,2,26,1410840
200404,01,127,3,6,Walker County                 ,27,27,3855555,0,0,0,0,0,0,7,45,2900000,27,27,3855555,0,0,0,0,0,0,7,45,2900000
200404,02,000,4,9,Anchorage  AK                 ,60,60,11566247,0,0,0,0,0,0,0,0,0,60,60,11566247,0,0,0,0,0,0,0,0,0
200404,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200404,02,016,4,9,Aleutians West Census Area    ,3,3,272920,0,0,0,0,0,0,0,0,0,3,3,272920,0,0,0,0,0,0,0,0,0
200404,02,020,4,9,Anchorage Borough             ,240,240,48914954,24,48,5297692,11,42,3836861,3,80,6355092,240,240,48914954,24,48,5297692,11,42,3836861,3,80,6355092
200404,02,050,4,9,Bethel Census Area            ,8,8,1200000,0,0,0,0,0,0,0,0,0,8,8,1200000,0,0,0,0,0,0,0,0,0
200404,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200404,02,090,4,9,Fairbanks North Star Borough  ,79,79,13816796,12,24,2025928,0,0,0,1,6,900000,79,79,13816796,12,24,2025928,0,0,0,1,6,900000
200404,02,100,4,9,Haines Borough                ,1,1,300000,0,0,0,0,0,0,0,0,0,1,1,300000,0,0,0,0,0,0,0,0,0
